Date (date),Country Name (country_name),ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region),Region Code (region_code),Sub-Region Name (sub_region),Sub-Region Code (sub_region_code),Harmonized System Code (hs_code),Commodity Name (commodity),Unit of Quantity (unit),Quantity of commodity (value_qt),Value of commodity quantity in INR (value_rs),Value of commodity quantity in US Dollars (value_dl)
"2016-04-01","Norway","NOR","578","Europe","150","Northern Europe","154","39233090","Crbys Bttls Flskand Smlr Artcl Of Plstcs Nes","Kgs","0.2","1.26","0.0"
"2019-08-01","Norway","NOR","578","Europe","150","Northern Europe","154","63079090","Othr Made Up Artcls Othr Thn Cotton","Kgs","0.9","9.25","0.01"
"2024-04-01","Denmark","DNK","208","Europe","150","Northern Europe","154","7133110","Beans Of The Spp Vigna Mungo (L.) Hepper","Kgs","20680.0","0.25","0.03"
"2018-06-01","Portugal","PRT","620","Europe","150","Southern Europe","39","61046990","Trousers,Bib And Brace Etc Of Other Fibres","Nos","1.0","3.15","0.0"
"2021-11-01","Spain","ESP","724","Europe","150","Southern Europe","39","71039921","Moonstone","Ctm","18.63","1.67","0.0"
"2021-12-01","Belarus","BLR","112","Europe","150","Eastern Europe","151","40103999","Trnsmsn Blt/Bltng Other Than Flat Blt/Ply Blt Where Ruby Compd More Than 25% By Wt.","Kgs","0.02","0.34","0.0"
"2024-06-01","Germany","DEU","276","Europe","150","Western Europe","155","85176290","Other","Nos","377.0","1.84","0.22"
"2015-05-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","73181900","Other Threaded Articles","Kgs","190.54","205.82","0.32"
"2021-07-01","Germany","DEU","276","Europe","150","Western Europe","155","20079910","Jams Jellies Mrmlds Etc. Of Mangoe","Kgs","158.24","124.14","0.17"
"2019-08-01","Poland","POL","616","Europe","150","Eastern Europe","151","82121010","Twine Type Shaving System","Kgs","1.14","17.12","0.02"
"2021-03-01","Russian Federation","RUS","643","Europe","150","Eastern Europe","151","57039020","Carpets And Floor Coverings Of Coir","Sqm","1.55","9.4","0.01"
"2015-07-01","Switzerland","CHE","756","Europe","150","Western Europe","155","11063010","Flour,Meal And Pwdr Of Tamarind","Kgs","20.0","8.09","0.01"
"2017-06-01","Belgium","BEL","56","Europe","150","Western Europe","155","42031010","Jackets And Jerseys","Kgs","6.17","214.54","0.33"
"2016-08-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","62149029","Chadars,Cotton,N.E.S.","Nos","0.25","2.55","0.0"
"2019-06-01","Germany","DEU","276","Europe","150","Western Europe","155","55095100","Othr Yarn Of Polystr Stpl Fibrs Mixed Mainly/Solely With Artificial Staple Fibrs","Kgs","21.23","40.84","0.06"
"2024-06-01","Denmark","DNK","208","Europe","150","Northern Europe","154","48171000","Envelopes","Kgs","3360.0","0.07","0.01"
"2021-07-01","Spain","ESP","724","Europe","150","Southern Europe","39","96062990","Others","Kgs","0.03","1.44","0.0"
"2019-09-01","Croatia","HRV","191","Europe","150","Southern Europe","39","61099090","T-Shirt Etc Of Othr Fibres","Nos","1.64","3.04","0.0"
"2016-12-01","Ireland","IRL","372","Europe","150","Northern Europe","154","42034090","Other","Kgs","0.02","0.25","0.0"
"2019-07-01","Germany","DEU","276","Europe","150","Western Europe","155","87149590","Others","Kgs","0.1","0.12","0.0"
"2015-05-01","Germany","DEU","276","Europe","150","Western Europe","155","28351010","Calcium Hypophosphite","Kgs","0.03","1.04","0.0"
"2020-09-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","84823000","Spherical Roller Bearings","Nos","0.01","1.63","0.0"
"2018-02-01","Slovakia","SVK","703","Europe","150","Eastern Europe","151","74072910","Rods Of Bronze And Similar Alloys","Kgs","5.47","21.4","0.03"
"2021-11-01","France","FRA","250","Europe","150","Western Europe","155","96019040","Wrkd Hrn,Corl Etc Anml Crvng Mtrl And Artcls","Kgs","0.83","9.86","0.01"
"2024-10-01","France","FRA","250","Europe","150","Western Europe","155","68138100","Brake Linings And Pads","Kgs","6227.0","0.23","0.03"
"2024-05-01","Switzerland","CHE","756","Europe","150","Western Europe","155","71039949","Other","Ctm","4200.0","0.03","0.0"
"2020-01-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","57050019","Carpets Othr Than Silk","Sqm","6.14","21.49","0.03"
"2020-02-01","Belarus","BLR","112","Europe","150","Eastern Europe","151","84879000","Othr Mcanry Parts Of Heading 8485","Kgs","0.46","2.18","0.0"
"2017-01-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","82053000","Planes,Chisels,Gauges And Smlr Cutting Toolsfor Working Wood","Kgs","31.18","54.58","0.08"
