Date (date),Country Name (country_name),ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region),Region Code (region_code),Sub-Region Name (sub_region),Sub-Region Code (sub_region_code),Harmonized System Code (hs_code),Commodity Name (commodity),Unit of Quantity (unit),Quantity of commodity (value_qt),Value of commodity quantity in INR (value_rs),Value of commodity quantity in US Dollars (value_dl)
"2017-11-01","United Republic of Tanzania","TZA","834","Africa","2","Sub-Saharan Africa","202","72042190","Othr Wst And Scrp Of Stainless Steel","Kgs","13.83","6.83","0.01"
"2022-04-01","Ethiopia","ETH","231","Africa","2","Sub-Saharan Africa","202","84729030","Automatic Bank Note Dispensers","Nos","0.0","26.34","0.03"
"2025-02-01","South Africa","ZAF","710","Africa","2","Sub-Saharan Africa","202","28112200","Silicon Dioxide","Kgs","844800.0","1.23","0.14"
"2022-01-01","Nigeria","NGA","566","Africa","2","Sub-Saharan Africa","202","72042190","Othr Wst And Scrp Of Stainless Steel","Kgs","307.37","469.93","0.63"
"2016-12-01","Tunisia","TUN","788","Africa","2","Northern Africa","15","61102000","Jerseys Etc Of Cotton","Nos","0.02","0.48","0.0"
"2019-01-01","South Africa","ZAF","710","Africa","2","Sub-Saharan Africa","202","40059190","Other Plates Sheets And Strip","Kgs","23.0","13.09","0.02"
"2019-12-01","South Africa","ZAF","710","Africa","2","Sub-Saharan Africa","202","44032190","Other","Cbm","0.97","77.62","0.11"
"2018-08-01","Liberia","LBR","430","Africa","2","Sub-Saharan Africa","202","85481020","*Battery Waste Isri Codes- Rains, Rink, Ronoropar, Vaunt","Kgs","46.0","37.93","0.05"
"2017-02-01","Ghana","GHA","288","Africa","2","Sub-Saharan Africa","202","12079990","Other Oil Seeds And Oleginous Fruits W/N Broken","Kgs","1725.0","488.87","0.73"
"2018-07-01","Nigeria","NGA","566","Africa","2","Sub-Saharan Africa","202","27131200","*Petroleum Coke Calcined","Kgs","393.8","23.6","0.03"
"2023-03-01","Rwanda","RWA","646","Africa","2","Sub-Saharan Africa","202","78019990","Other Unrefined Lead And Lead Alloys N.E.S","Kgs","209.64","344.92","0.42"
"2019-11-01","Reunion","REU","638","Africa","2","Sub-Saharan Africa","202","98059000","Others","Kgs","0.25","2.17","0.0"
"2023-05-01","Reunion","REU","638","Africa","2","Sub-Saharan Africa","202","47071000","Wste And Scrp Of Unblechd Kraft Papr Or Paprbord Or Corgtd Papr/Paprbord","Kgs","1775.71","219.29","0.27"
"2023-07-01","South Africa","ZAF","710","Africa","2","Sub-Saharan Africa","202","84425039","Other Prntng Cmpnts","Kgs","15.0","19.71","0.02"
"2015-08-01","Sudan","SDN","729","Africa","2","Northern Africa","15","12077090","Other Melon Seeds","Kgs","3264.36","2298.75","3.53"
"2018-01-01","Madagascar","MDG","450","Africa","2","Sub-Saharan Africa","202","25252090","Other Mica Powder","Kgs","10.0","2.31","0.0"
"2017-06-01","Tunisia","TUN","788","Africa","2","Northern Africa","15","41044900","Other Grain Of Bovine In Dry State (Crust)","Kgs","0.17","4.15","0.01"
"2015-08-01","Kenya","KEN","404","Africa","2","Sub-Saharan Africa","202","53050090","Other Bast Fibres","Kgs","252.0","347.36","0.53"
"2016-07-01","Mali","MLI","466","Africa","2","Sub-Saharan Africa","202","8013100","Cashen Nuts Fresh/Dried In Shell","Kgs","504.92","529.65","0.79"
"2020-02-01","Egypt","EGY","818","Africa","2","Northern Africa","15","40081990","Other Form Of Cellular Rubr","Kgs","4.09","2.08","0.0"
"2024-12-01","Sierra Leone","SLE","694","Africa","2","Sub-Saharan Africa","202","76020010","Aluminium Scrap Coverd By Isri Code Tablettabloid,Taboo,Taint/Tabor,Take, Talap, Talcred,Taldack,Taldon,Ta","Kgs","133595.0","2.15","0.25"
"2017-09-01","Egypt","EGY","818","Africa","2","Northern Africa","15","33051090","Hair Shampoos (Non-Spirituous)","Kgs","0.0","0.09","0.0"
"2019-08-01","Rwanda","RWA","646","Africa","2","Sub-Saharan Africa","202","85176290","Other","Nos","0.01","1.19","0.0"
"2018-11-01","South Africa","ZAF","710","Africa","2","Sub-Saharan Africa","202","44032110","Saw Logs And Veneer Logs","Cbm","6.35","516.13","0.72"
"2024-10-01","Seychelles","SYC","690","Africa","2","Sub-Saharan Africa","202","70133700","Other","Kgs","2.0","0.0","0.0"
"2024-04-01","South Africa","ZAF","710","Africa","2","Sub-Saharan Africa","202","90181290","Othr Electro-Diagnostc Aparatus","Nos","0.0","2.63","0.0"
"2015-09-01","Egypt","EGY","818","Africa","2","Northern Africa","15","40112010","Radials Tyres Used On Buses/Lorries","Nos","0.68","159.58","0.24"
"2023-12-01","Egypt","EGY","818","Africa","2","Northern Africa","15","29225090","Other Frusemide Aminodial Domperidone","Kgs","0.9","2.35","0.0"
"2019-04-01","Gabon","GAB","266","Africa","2","Sub-Saharan Africa","202","44089090","Others","Kgs","6225.61","4064.37","5.85"
"2017-07-01","Ghana","GHA","288","Africa","2","Sub-Saharan Africa","202","78019920","Unrefined Lead,N.E.S.","Kgs","319.76","435.52","0.68"
"2021-06-01","Ghana","GHA","288","Africa","2","Sub-Saharan Africa","202","44072910","*Sawn/Chipped Teak Wood","Cbm","1.53","441.13","0.6"
"2018-07-01","Madagascar","MDG","450","Africa","2","Sub-Saharan Africa","202","7133500","Cow Peas (Vigna Unguiculata)","Kgs","23.0","10.61","0.02"
"2021-12-01","Morocco","MAR","504","Africa","2","Northern Africa","15","12119094","Basil,Hyasop,Rose Mary Sage,Savory","Kgs","230.02","258.57","0.34"
"2023-01-01","Senegal","SEN","686","Africa","2","Sub-Saharan Africa","202","72042990","Others","Kgs","196.29","86.91","0.11"
"2025-07-01","Côte d'Ivoire","CIV","384","Africa","2","Sub-Saharan Africa","202","13021920","Cashew Shell Liquid (Cnsl)","Kgs","60040.0","0.21","0.02"
"2024-11-01","South Africa","ZAF","710","Africa","2","Sub-Saharan Africa","202","38040090","Other Residual Lyes","Kgs","96000.0","0.48","0.06"
"2020-10-01","Sierra Leone","SLE","694","Africa","2","Sub-Saharan Africa","202","72042190","Othr Wst And Scrp Of Stainless Steel","Kgs","20.0","17.1","0.02"
"2015-05-01","Benin","BEN","204","Africa","2","Sub-Saharan Africa","202","72042190","Othr Wst And Scrp Of Stainless Steel","Kgs","12.8","12.61","0.02"
"2019-10-01","Mali","MLI","466","Africa","2","Sub-Saharan Africa","202","13019016","Karaya Gum(Indian Tragacanth) Hastab","Kgs","36.0","27.51","0.04"
"2016-02-01","South Africa","ZAF","710","Africa","2","Sub-Saharan Africa","202","32089090","Othr Paint Varnsh(Incl Enml And Lacqr) Bsd On Syntic Plymr/Chmly Mdfd Natrl Plymr Nes","Kgs","0.04","1.25","0.0"
"2018-09-01","Egypt","EGY","818","Africa","2","Northern Africa","15","28112200","Silicon Dioxide","Kgs","25.0","5.28","0.01"
"2025-01-01","Ethiopia","ETH","231","Africa","2","Sub-Saharan Africa","202","90185090","Ophthalmic Surgical Instrmnt And Appliances","Nos","2.0","0.0","0.0"
"2019-12-01","South Africa","ZAF","710","Africa","2","Sub-Saharan Africa","202","84313910","Prts Of Elvtrs,Cnveyrs And Mvng Pvmnts","Kgs","9.57","62.11","0.09"
"2018-04-01","Niger","NER","562","Africa","2","Sub-Saharan Africa","202","13012000","Gum Arabic","Kgs","498.0","175.01","0.27"
"2015-11-01","Cameroon","CMR","120","Africa","2","Sub-Saharan Africa","202","27090000","Petroleum Oils And Oils Obtained From Bituminous Minerals Crude","Kgs","99.45","20320.02","30.73"
"2025-06-01","Morocco","MAR","504","Africa","2","Northern Africa","15","85369090","Other","Nos","24680.0","1.23","0.14"
"2019-03-01","Morocco","MAR","504","Africa","2","Northern Africa","15","94019000","*Other Seats Of Heading 9401","Kgs","0.01","0.44","0.0"
"2021-06-01","Morocco","MAR","504","Africa","2","Northern Africa","15","71031039","Other","Kgs","24.85","11.83","0.02"
"2021-05-01","Djibouti","DJI","262","Africa","2","Sub-Saharan Africa","202","60062200","Othr Knited Or Crochetd Fbrcs Of Cotton , Dyed","Kgs","111.39","451.14","0.62"
"2024-10-01","Zambia","ZMB","894","Africa","2","Sub-Saharan Africa","202","26169010","Gold Ores And Concentrates","Kgs","5.0","0.28","0.03"
"2020-05-01","South Africa","ZAF","710","Africa","2","Sub-Saharan Africa","202","21039040","Mcxed, Condiments And Mixed Seasoning","Kgs","0.16","1.21","0.0"
"2023-08-01","Eswatini","SWZ","748","Africa","2","Sub-Saharan Africa","202","63090000","Worn Clothing And Other Worn Articles","Kgs","25.38","6.29","0.01"
"2022-12-01","Ghana","GHA","288","Africa","2","Sub-Saharan Africa","202","40012200","Technically Spcfd Natrl Rubr(Tsnr)","Kgs","302.4","361.61","0.44"
"2022-12-01","Nigeria","NGA","566","Africa","2","Sub-Saharan Africa","202","78019990","Other Unrefined Lead And Lead Alloys N.E.S","Kgs","107.78","186.33","0.23"
"2025-03-01","Botswana","BWA","72","Africa","2","Sub-Saharan Africa","202","94032090","Others","Kgs","1.0","0.07","0.01"
"2018-06-01","South Africa","ZAF","710","Africa","2","Sub-Saharan Africa","202","28256020","Zirconium Dioxides","Kgs","42.0","170.56","0.25"
"2018-10-01","Egypt","EGY","818","Africa","2","Northern Africa","15","28269000","Other Fluorosilicates, Fluroaluminates And Other Complx Fluorine Salts","Kgs","27.0","5.97","0.01"
"2019-11-01","Cameroon","CMR","120","Africa","2","Sub-Saharan Africa","202","84099990","Other Parts Of Semi Diesel Engines","Kgs","0.0","0.11","0.0"
"2023-04-01","Gabon","GAB","266","Africa","2","Sub-Saharan Africa","202","44083910","Sheets For Pywood","Kgs","1036.74","731.49","0.89"
"2025-01-01","South Africa","ZAF","710","Africa","2","Sub-Saharan Africa","202","39233010","Crbys Bttls Flsks And Smlr Artcls Of Plstcs Insulated Ware","Kgs","37.0","0.0","0.0"
"2024-10-01","Zambia","ZMB","894","Africa","2","Sub-Saharan Africa","202","98049000","Others","Kgs","340.0","0.0","0.0"
"2022-03-01","South Africa","ZAF","710","Africa","2","Sub-Saharan Africa","202","71103100","Rhodium Unwrought Or In Powder Form","Kgs","0.0","717.09","0.94"
"2019-05-01","Senegal","SEN","686","Africa","2","Sub-Saharan Africa","202","12074090","Other Sesamum Seeds W/N Broken","Kgs","73.55","70.16","0.1"
"2016-10-01","Egypt","EGY","818","Africa","2","Northern Africa","15","32082090","Othr Paint Vrnsh Bsd On Acrylc/Vnyl Plymr","Kgs","7.82","34.0","0.05"
"2024-10-01","South Africa","ZAF","710","Africa","2","Sub-Saharan Africa","202","26100030","Chrome Ore Lumps Below 40% Cr2O3","Kgs","216000.0","0.92","0.11"
"2020-08-01","Ethiopia","ETH","231","Africa","2","Sub-Saharan Africa","202","30021100","*Malaria Diagnostic Test Kits","Kgs","0.01","28.03","0.04"
"2021-09-01","Egypt","EGY","818","Africa","2","Northern Africa","15","31021000","Urea Whether Or Not In Aqueous Solution","Kgs","93185.98","26891.59","36.56"
"2018-08-01","Egypt","EGY","818","Africa","2","Northern Africa","15","25101010","Natural Calcium Phosphates Unground","Kgs","79804.0","3614.59","5.2"
"2021-07-01","South Africa","ZAF","710","Africa","2","Sub-Saharan Africa","202","25101010","Natural Calcium Phosphates Unground","Kgs","200.59","23.62","0.03"
"2017-08-01","Kenya","KEN","404","Africa","2","Sub-Saharan Africa","202","71031019","*Othr Prcs Stone(E.G.Aquamarine Chrisobaryle-Topaz Etc) Uncut","Kgs","0.07","5.84","0.01"
"2017-10-01","South Africa","ZAF","710","Africa","2","Sub-Saharan Africa","202","26020050","Manganese Ore (<35% But>=30%)","Kgs","49255.0","4088.33","6.28"
"2022-02-01","Egypt","EGY","818","Africa","2","Northern Africa","15","33029011","Synthetic Perfumery Compounds","Kgs","0.05","4.07","0.01"
"2019-04-01","Burkina Faso","BFA","854","Africa","2","Sub-Saharan Africa","202","71081200","Other Non-Monetary Unwrought Forms Of Gold","Kgs","2.38","56641.77","81.58"
"2017-07-01","Kenya","KEN","404","Africa","2","Sub-Saharan Africa","202","71031022","*Garnet Uncut","Kgs","0.2","28.3","0.04"
"2022-05-01","Togo","TGO","768","Africa","2","Sub-Saharan Africa","202","72042990","Others","Kgs","298.97","136.44","0.18"
"2024-03-01","Tunisia","TUN","788","Africa","2","Northern Africa","15","48232000","Filter Paper And Paperboard","Kgs","2.39","17.47","0.02"
"2022-12-01","Madagascar","MDG","450","Africa","2","Sub-Saharan Africa","202","7133300","Kidny Bens Incl Whte Pea Bens Dried And Shld","Kgs","163.05","163.66","0.2"
"2020-07-01","Egypt","EGY","818","Africa","2","Northern Africa","15","28141000","Anhydrous Ammonia","Kgs","7350.0","1609.04","2.15"
"2019-02-01","Mozambique","MOZ","508","Africa","2","Sub-Saharan Africa","202","12019000","Other Soya Beans","Kgs","68.0","18.29","0.03"
